orderID,qsv,noLanes,noRolls,waste,no_coprint,restriction,due_date
0696893-C,7555-617-70,7,1,90,2,55,2022-03-25 00:00:00
697005,7555-617-70,7,1,0,0,55,2022-03-30 00:00:00
0697360-C,7555-617-70,7,1,214,2,55,2022-03-30 00:00:00
0696782-C,B672-813-49,5,12,166,2,na,2022-04-01 00:00:00
696720,7555-617-70,7,1,0,0,55,2022-04-01 00:00:00
0696740-C,7555-617-70,7,6,113,7,55,2022-04-04 00:00:00
698221,7555-617-70,7,2,239,0,55,2022-04-05 00:00:00
697611,7555-617-70,7,1,8,0,55,2022-04-05 00:00:00
697510,7555-617-70,7,1,2,0,55,2022-04-06 00:00:00
697513,7555-617-70,7,1,2,0,55,2022-04-06 00:00:00
697505,7555-617-70,7,2,62,0,55,2022-04-06 00:00:00
697603,7555-617-70,7,1,3,0,55,2022-04-06 00:00:00
697604,7555-617-70,7,1,4,0,55,2022-04-06 00:00:00
698087,7555-617-70,7,1,133,0,55,2022-04-06 00:00:00
697715,7555-617-70,7,1,0,0,55,2022-04-06 00:00:00
698056,7555-617-70,7,1,160,0,55,2022-04-07 00:00:00
0698057-C,7555-617-70,7,3,18,3,55,2022-04-07 00:00:00
697494,7555-617-70,7,1,2,0,55,2022-04-08 00:00:00
0697495-C,7555-617-70,7,7,514,7,55,2022-04-08 00:00:00
697727,7555-617-70,7,1,17,0,55,2022-04-08 00:00:00
697509,7555-617-70,7,3,64,0,55,2022-04-08 00:00:00
697711,7555-617-70,7,1,0,0,55,2022-04-08 00:00:00
697710,7555-617-70,7,1,20,0,55,2022-04-08 00:00:00
697708,7555-617-70,7,1,0,0,55,2022-04-08 00:00:00
697725,7555-617-70,7,1,223,0,55,2022-04-12 00:00:00
697726,7555-617-70,7,1,3,0,55,2022-04-12 00:00:00
697723,7555-617-70,7,1,30,0,55,2022-04-12 00:00:00
697722,7555-617-70,7,1,3,0,55,2022-04-12 00:00:00
697720,7555-617-70,7,1,407,0,55,2022-04-12 00:00:00
697719,7555-617-70,7,1,3,0,55,2022-04-12 00:00:00
697514,7555-617-70,7,1,103,0,55,2022-04-12 00:00:00
0697724-C,7555-617-70,7,7,383,3,55,2022-04-12 00:00:00
697721,7555-617-70,7,1,2,0,55,2022-04-12 00:00:00

